node,value,cycle,representative,partition
minecraft:danger_pottery_sherd,128,,,part-350
minecraft:dirt,0.01,,,part-000
minecraft:trial_key,64,,,part-353
minecraft:torchflower_seeds,0.5,,,part-354
born_in_chaos_v1:tombstone_somfunambulist,256,,,part-355
betterarcheology:villager_fossil_body,48,,,part-358
minecraft:blade_pottery_sherd,128,,,part-359
born_in_chaos_v1:fragile_scorched_boards,0.063,,,part-000
evenmoreinstruments:record_super_idol,128,,,part-362
crystal_chronicles:tall_blood_bases,0.12,,,part-363
artifacts:lucky_scarf,512,,,part-364
crystal_chronicles:eye,5,,,part-053
irons_spellbooks:teleportation_amulet,64,,,part-365
relics:ice_skates,512,,,part-367
artifacts:chorus_totem,512,,,part-368
betterarcheology:chiseled_bone_block,0.05,,,part-369
born_in_chaos_v1:tombstone_plug,256,,,part-370
irons_spellbooks:priest_leggings,"",,,part-000
minecraft:echo_shard,16,,,part-000
relics:spore_sack,512,,,part-371
evenmoreinstruments:record_rickroll,128,,,part-372
born_in_chaos_v1:phantom_powder,8,,,part-000
relics:hunter_belt,512,,,part-373
createoreexcavation:raw_emerald,8,,,part-000
born_in_chaos_v1:krampuss_bag,64,,,part-375
minecraft:dead_bush,0.05,,,part-378
irons_spellbooks:villager_spell_book,32,,,part-379
minecraft:turtle_scute,24,,,part-000
irons_spellbooks:disc_fragment_flame_still_burns,16,,,part-000
minecraft:shulker_shell,8,,,part-000
minecraft:large_amethyst_bud,3,,,part-386
artifacts:umbrella,512,,,part-389
supplementaries:wild_flax,1,,,part-000
minecraft:globe_banner_pattern,128,,,part-394
artifacts:anglers_hat,512,,,part-395
minecraft:gilded_blackstone,6,,,part-000
supplementaries:safe,"",,,part-396
irons_spellbooks:legendary_ink,512,,,part-400
irons_spellbooks:evoker_spell_book,48,,,part-403
irons_spellbooks:electromancer_leggings,"",,,part-000
fdbosses:lightning_core,512,,,part-405
minecraft:dragon_egg,4096,,,part-406
artifacts:pocket_piston,512,,,part-408
irons_spellbooks:timeless_slurry,32,,,part-000
irons_spellbooks:cultist_chestplate,"",,,part-000
irons_spellbooks:cryomancer_helmet,"",,,part-000
betterarcheology:fossiliferous_dirt,0.05,,,part-000
born_in_chaos_v1:tombstone_d_4rkdevilx,256,,,part-413
artifacts:helium_flamingo,512,,,part-414
born_in_chaos_v1:infernal_evil_pumpkin_s,64,,,part-415
born_in_chaos_v1:bagof_candy,6,,,part-417
minecraft:tall_grass,0.05,,,part-108
born_in_chaos_v1:elixirof_insect_protection,16,,,part-418
minecraft:red_mushroom_block,0.1,,,part-420
createoreexcavation:raw_redstone,5,,,part-000
minecraft:large_fern,0.05,,,part-000
relics:amphibian_boot,512,,,part-422
artifacts:whoopee_cushion,512,,,part-424
irons_spellbooks:shadowwalker_leggings,"",,,part-000
minecraft:amethyst_cluster,6,,,part-000
sophisticatedcore:xp_bucket,1,,,part-427
supplementaries:enderman_head,48,,,part-428
minecraft:sugar_cane,0.1,,,part-000
minecraft:music_disc_relic,128,,,part-431
irons_spellbooks:pyromancer_helmet,"",,,part-000
artifacts:cross_necklace,512,,,part-433
betterarcheology:ocelot_fossil_body,48,,,part-029
minecraft:dead_brain_coral_block,0.4,,,part-438
irons_spellbooks:pyromancer_leggings,"",,,part-000
born_in_chaos_v1:monster_flesh,8,,,part-442
minecraft:torchflower,1,,,part-000
minecraft:plenty_pottery_sherd,128,,,part-443
minecraft:mushroom_stem,0.1,,,part-446
betterarcheology:chicken_fossil_body,48,,,part-160
crystal_chronicles:tendon_block,0.4,,,part-448
born_in_chaos_v1:soulbane,48,,,part-452
minecraft:chainmail_boots,2,,,part-000
born_in_chaos_v1:puddleofintoxication,8,,,part-455
create:chocolate_bucket,0,,,part-456
betterarcheology:torrent_totem,2048,,,part-457
minecraft:crying_obsidian,2,,,part-000
born_in_chaos_v1:fangofthe_hound_leader,4,,,part-000
minecraft:dead_fire_coral_fan,0.4,,,part-463
minecraft:beetroot,0.8,,,part-000
born_in_chaos_v1:stimulating_decoction,16,,,part-000
irons_spellbooks:permafrost_shard,32,,,part-000
minecraft:explorer_pottery_sherd,128,,,part-466
minecraft:shelter_pottery_sherd,128,,,part-467
artifacts:scarf_of_invisibility,512,,,part-469
born_in_chaos_v1:charmof_resistance,32,,,part-474
minecraft:chorus_fruit,0.5,,,part-000
relics:magma_walker,512,,,part-478
irons_spellbooks:decrepit_key,64,,,part-479
irons_spellbooks:pyromancer_chestplate,"",,,part-000
minecraft:chainmail_chestplate,2,,,part-000
born_in_chaos_v1:chaos_component,10,,,part-000
irons_spellbooks:arcane_essence,5,,,part-000
irons_spellbooks:electromancer_boots,"",,,part-000
born_in_chaos_v1:permafrost_shard,32,,,part-000
relics:infinity_ham,512,,,part-481
born_in_chaos_v1:dark_rod,5,,,part-000
relics:relic_experience_bottle,512,,,part-483
irons_spellbooks:ice_spider_egg,8,,,part-484
crystal_chronicles:hemalite_block,0,,,part-485
minecraft:moss_block,0.05,,,part-000
irons_spellbooks:frozen_bone,8,,,part-000
minecraft:music_disc_strad,128,,,part-486
born_in_chaos_v1:elixirof_ice_barrier,16,,,part-488
minecraft:small_amethyst_bud,0.5,,,part-491
minecraft:vine,0.05,,,part-000
irons_spellbooks:electromancer_chestplate,"",,,part-000
minecraft:axolotl_bucket,1,,,part-492
minecraft:creeper_head,48,,,part-000
irons_spellbooks:plagued_helmet,"",,,part-000
supplementaries:antique_ink,12,,,part-000
irons_spellbooks:uncommon_ink,16,,,part-493
born_in_chaos_v1:anluka_doors,64,,,part-497
irons_spellbooks:blood_vial,8,,,part-000
relics:midnight_robe,512,,,part-501
supplementaries:music_disc_heave_ho,128,,,part-503
irons_spellbooks:necronomicon_spell_book,1024,,,part-504
arcane_abilities:weightless_boot,512,,,part-505
minecraft:lava_bucket,4,,,part-000
relics:jellyfish_necklace,512,,,part-507
minecraft:music_disc_precipice,128,,,part-508
minecraft:dead_fire_coral_block,0.4,,,part-510
betterarcheology:guardian_fossil_body,48,,,part-008
minecraft:mangrove_roots,0.05,,,part-000
irons_spellbooks:greater_invisibility_elixir,96,,,part-516
minecraft:beef,1,,,part-517
minecraft:snowball,0.01,,,part-000
crystal_chronicles:skin_layer,0.5,,,part-518
minecraft:bell,64,,,part-519
artifacts:rooted_boots,512,,,part-520
born_in_chaos_v1:tombstone_mike_rory,256,,,part-521
minecraft:chainmail_leggings,2,,,part-000
paraglider:horned_statue,64,,,part-527
crystal_chronicles:muscle_block,0.2,,,part-529
minecraft:mutton,1,,,part-534
born_in_chaos_v1:fire_dust,1,,,part-000
minecraft:nether_quartz_ore,7,,,part-000
minecraft:spore_blossom,1,,,part-000
relics:leafy_ring,512,,,part-537
numismatics:crown,512,,,part-538
irons_spellbooks:plagued_chestplate,"",,,part-000
born_in_chaos_v1:empty_fel_lamp,32,,,part-000
minecraft:rooted_dirt,0.02,,,part-000
irons_spellbooks:rotten_spell_book,36,,,part-000
minecraft:sniffer_egg,64,,,part-540
artifacts:vampiric_glove,512,,,part-542
relics:holy_locket,512,,,part-543
minecraft:ochre_froglight,5,,,part-544
irons_spellbooks:common_ink,8,,,part-546
irons_spellbooks:bloody_vellum,12,,,part-000
minecraft:dead_horn_coral,0.4,,,part-547
minecraft:sculk_vein,0.2,,,part-549
irons_spellbooks:betrayer_signet,4096,,,part-550
paraglider:stamina_vessel,128,,,part-552
born_in_chaos_v1:tombstone_memesus,256,,,part-555
irons_spellbooks:archevoker_helmet,"",,,part-000
supplementaries:rope_arrow,4,,,part-556
minecraft:prize_pottery_sherd,128,,,part-557
minecraft:enchanted_golden_apple,512,,,part-000
minecraft:salmon_bucket,1,,,part-560
born_in_chaos_v1:serpumpkinhead_m,128,,,part-562
artifacts:strider_shoes,512,,,part-563
born_in_chaos_v1:creepy_gift,10,,,part-564
randomium:randomium,0,,,part-566
minecraft:nautilus_shell,32,,,part-000
minecraft:apple,1,,,part-000
minecraft:powder_snow_bucket,1,,,part-571
minecraft:piglin_banner_pattern,128,,,part-572
minecraft:music_disc_otherside,128,,,part-575
crystal_chronicles:bronchus,0.5,,,part-000
minecraft:friend_pottery_sherd,128,,,part-579
irons_spellbooks:cultist_helmet,"",,,part-000
minecraft:fire_coral_block,0.4,,,part-582
irons_spellbooks:icy_fang,8,,,part-584
born_in_chaos_v1:caramel_pepper,5,,,part-000
minecraft:podzol,0.02,,,part-000
betterarcheology:suspicious_dirt,0.05,,,part-589
born_in_chaos_v1:lord_pumpkinheads_hat_helmet,512,,,part-000
minecraft:chorus_flower,4,,,part-000
artifacts:charm_of_shrinking,512,,,part-590
born_in_chaos_v1:charmof_fury,32,,,part-592
born_in_chaos_v1:pumpkinstaffa,48,,,part-594
relics:solid_snowball,512,,,part-595
minecraft:end_stone,0.05,,,part-000
born_in_chaos_v1:sea_terror_stomach,24,,,part-601
minecraft:dead_tube_coral_block,0.4,,,part-602
relics:rage_glove,512,,,part-604
minecraft:miner_pottery_sherd,128,,,part-608
relics:drowned_belt,512,,,part-609
minecraft:pitcher_plant,1,,,part-000
minecraft:ender_pearl,5,,,part-000
artifacts:superstitious_hat,512,,,part-612
createoreexcavation:raw_diamond,10,,,part-000
irons_spellbooks:rare_ink,48,,,part-616
irons_spellbooks:oakskin_elixir,32,,,part-621
relics:space_dissector,512,,,part-623
minecraft:flow_banner_pattern,128,,,part-624
minecraft:brown_mushroom,0.05,,,part-000
irons_spellbooks:archevoker_boots,"",,,part-000
minecraft:snort_pottery_sherd,128,,,part-627
born_in_chaos_v1:sea_terror_eye,16,,,part-633
minecraft:honeycomb,8,,,part-000
relics:blazing_flask,512,,,part-634
born_in_chaos_v1:dark_metal_deposit,10,,,part-635
minecraft:dragon_head,512,,,part-000
artifacts:villager_hat,512,,,part-637
artifacts:panic_necklace,512,,,part-639
irons_spellbooks:pyromancer_boots,"",,,part-000
minecraft:horn_coral_fan,0.4,,,part-642
minecraft:cod,1,,,part-515
crystal_chronicles:alveolus,0.1,,,part-645
artifacts:plastic_drinking_hat,152,,,part-646
minecraft:chicken,1,,,part-647
minecraft:dead_horn_coral_block,0.4,,,part-649
minecraft:guster_banner_pattern,128,,,part-651
minecraft:milk_bucket,5,,,part-000
minecraft:cobweb,9,,,part-000
artifacts:steadfast_spikes,512,,,part-653
born_in_chaos_v1:tombstone_euthymia,256,,,part-654
irons_spellbooks:shadowwalker_chestplate,"",,,part-000
born_in_chaos_v1:smoldering_infernal_ember,32,,,part-000
born_in_chaos_v1:mesh_door,20,,,part-655
arcane_abilities:shadow_lantern,512,,,part-659
betterarcheology:artifact_shards,8,,,part-000
irons_spellbooks:fire_ale,32,,,part-661
paraglider:spirit_orb,32,,,part-662
born_in_chaos_v1:chocolate_heart,8,,,part-000
create:honey_bucket,0,,,part-664
minecraft:sculk_shrieker,2,,,part-665
minecraft:dead_bubble_coral_block,0.4,,,part-666
paraglider:heart_container,256,,,part-667
irons_spellbooks:plagued_boots,"",,,part-000
minecraft:iron_horse_armor,24,,,part-000
minecraft:prismarine_crystals,4,,,part-000
minecraft:mycelium,0.05,,,part-000
minecraft:sheaf_pottery_sherd,128,,,part-671
born_in_chaos_v1:gnawed_bones,12,,,part-000
minecraft:dead_horn_coral_fan,0.4,,,part-673
betterarcheology:villager_fossil_head,48,,,part-358
minecraft:sculk,0.4,,,part-000
irons_spellbooks:cryomancer_leggings,"",,,part-000
minecraft:horn_coral,0.4,,,part-000
minecraft:dead_tube_coral,0.4,,,part-675
minecraft:flow_pottery_sherd,128,,,part-676
minecraft:bee_nest,8,,,part-677
minecraft:pufferfish_bucket,1,,,part-679
minecraft:archer_pottery_sherd,128,,,part-680
minecraft:zombie_head,48,,,part-683
crystal_chronicles:crustone,0.07,,,part-053
minecraft:pitcher_pod,0.5,,,part-687
born_in_chaos_v1:spider_mandible,24,,,part-000
chimes:carved_bamboo_chimes,12,,,part-688
betterarcheology:sheep_fossil_body,48,,,part-126
irons_spellbooks:greater_healing_potion,96,,,part-691
minecraft:hanging_roots,0.05,,,part-692
minecraft:experience_bottle,12,,,part-000
minecraft:fire_coral_fan,0.4,,,part-694
irons_spellbooks:priest_boots,"",,,part-000
minecraft:dead_brain_coral_fan,0.4,,,part-697
born_in_chaos_v1:birch_branches,10,,,part-698
minecraft:golden_horse_armor,34,,,part-000
minecraft:dragon_breath,8,,,part-000
irons_spellbooks:plagued_leggings,"",,,part-000
darkdoppelganger:doppelganger_ring,4096,,,part-701
born_in_chaos_v1:tombstone_carrion,256,,,part-703
minecraft:glow_lichen,0.05,,,part-704
relics:ice_breaker,512,,,part-705
born_in_chaos_v1:krampus_horn,48,,,part-000
crystal_chronicles:hanging_veins,0.15,,,part-706
minecraft:bubble_coral,0.4,,,part-000
minecraft:blaze_rod,4,,,part-000
minecraft:sea_pickle,0.05,,,part-000
minecraft:cocoa_beans,0.05,,,part-000
irons_spellbooks:netherward_tincture,32,,,part-710
minecraft:diamond_horse_armor,48,,,part-000
minecraft:salmon,1,,,part-719
minecraft:guster_pottery_sherd,128,,,part-720
born_in_chaos_v1:infected_deepslate_diamond_ore,30,,,part-721
minecraft:brain_coral_block,0.4,,,part-724
minecraft:sculk_catalyst,4,,,part-000
minecraft:ominous_bottle,14,,,part-733
irons_spellbooks:pyrium_ingot,16,,,part-000
born_in_chaos_v1:diamond_termite_shard,1.11,,,part-000
crystal_chronicles:artree_capillary,0.1,,,part-736
minecraft:melon_slice,0.5,,,part-000
born_in_chaos_v1:coffee_candy,8,,,part-000
artifacts:obsidian_skull,512,,,part-741
born_in_chaos_v1:infected_diamond_ore,30,,,part-742
betterarcheology:creeper_fossil_body,48,,,part-047
darkdoppelganger:elder_necklace,4096,,,part-744
minecraft:tadpole_bucket,1,,,part-745
born_in_chaos_v1:bloody_gadfly_eye,0.1,,,part-746
artifacts:thorn_pendant,512,,,part-747
irons_spellbooks:claymore,10,,,part-751
irons_spellbooks:shadowwalker_helmet,"",,,part-000
crystal_chronicles:veins,0.15,,,part-754
betterarcheology:wolf_fossil_head,48,,,part-078
arcane_abilities:fate_beacon,512,,,part-760
minecraft:bubble_coral_fan,0.4,,,part-763
artifacts:digging_claws,512,,,part-765
born_in_chaos_v1:rotten_fish,8,,,part-585
minecraft:lily_pad,0.05,,,part-768
irons_spellbooks:ancient_knowledge_fragment,12,,,part-000
minecraft:pointed_dripstone,0.6,,,part-000
minecraft:netherrack,0.04,,,part-000
artifacts:novelty_drinking_hat,512,,,part-771
artifacts:universal_attractor,512,,,part-776
arcane_abilities:icy_crystal,512,,,part-777
born_in_chaos_v1:tombstone_orion,256,,,part-779
born_in_chaos_v1:tombstone_nino_4416,256,,,part-781
minecraft:piglin_head,48,,,part-783
minecraft:cactus,0.05,,,part-000
artifacts:aqua_dashers,512,,,part-784
minecraft:turtle_egg,12,,,part-786
artifacts:golden_hook,512,,,part-788
irons_spellbooks:cinder_essence,8,,,part-000
minecraft:disc_fragment_5,16,,,part-349
irons_spellbooks:lightning_bottle,64,,,part-000
minecraft:rabbit_foot,16,,,part-789
fdbosses:chesed_trophy,4096,,,part-790
born_in_chaos_v1:puddleof_stimulation,8,,,part-792
irons_spellbooks:epic_ink,128,,,part-793
irons_spellbooks:greater_evasion_elixir,96,,,part-794
betterarcheology:soul_totem,2048,,,part-800
relics:phantom_boot,512,,,part-801
evenmoreinstruments:record_sad_violin,128,,,part-802
irons_spellbooks:scroll,12,,,part-803
minecraft:beetroot_seeds,0.08,,,part-804
minecraft:twisting_vines,0.05,,,part-805
artifacts:snowshoes,512,,,part-806
irons_spellbooks:tarnished_helmet,16,,,part-807
irons_spellbooks:divine_soulshard,4096,,,part-000
irons_spellbooks:cultist_boots,"",,,part-000
minecraft:water,0.001,,,part-000
minecraft:milk,0.005,,,part-000
#log,0.25,,,part-000
#create:rare_package,64,,,part-972
#leaves,0.05,,,part-000
#saplings,0.05,,,part-000
#flowers,0.05,,,part-000
#tall_flowers,0.05,,,part-000
#coal_ore,1,,,part-000
#iron_ore,5,,,part-000
#gold_ore,7,,,part-000
#copper_ore,3,,,part-000
#redstone_ore,5,,,part-000
#emerald_ore,8,,,part-000
#lapis_ore,5,,,part-000
#diamond_ore,10,,,part-000
#randomium_ore,256,,,part-973
#mithril_ore,12,,,part-974
#zinc_ore,5,,,part-000
create:veridium,0.08,"{'create:cut_veridium_bricks', 'create:polished_cut_veridium_stairs', 'create:cut_veridium_brick_stairs', 'create:cut_veridium_stairs', 'create:small_veridium_bricks', 'create:veridium_pillar', 'create:small_veridium_brick_wall', 'create:cut_veridium', 'create:polished_cut_veridium', 'create:cut_veridium_brick_wall', 'create:layered_veridium', 'create:cut_veridium_wall', 'create:veridium', 'create:cut_veridium_slab', 'create:small_veridium_brick_slab', 'create:small_veridium_brick_stairs', 'create:cut_veridium_brick_slab', 'create:polished_cut_veridium_slab', 'create:polished_cut_veridium_wall'}",,part-000
