node,SCT
gametechbcs_spellbooks:gtbcs_magical_repository,17776.220
somemoreblocks:purple_shingles_stairs,8.000
minecraft:polished_blackstone_slab,8.000
create:crushed_raw_zinc,5.000
minecraft:stone_stairs,16.000
irons_spellbooks:decrepit_scythe,0.000
somemoreblocks:mossy_prismarine_brick_wall,8.420
create:sturdy_sheet,320.480
better_weaponry:netherite_shield,687.960
better_weaponry:emerald_armor_chestplate,400.000
irons_spellbooks:nature_rune,4220.830
exposure:camera,119.250
minecraft:quartz,4.000
somemoreblocks:purple_concrete_tiles,16.020
minecraft:nether_brick_wall,0.400
minecraft:warped_nylium,0.000
minecraft:waxed_copper_door,71.720
protection_pixel:powerengine,75.850
hazennstuff:fireblossom_leggings,2355.580
crystal_chronicles:rogue_chestplate,10739.580
irons_spellbooks:iron_spell_book,6.620
better_weaponry:emerald_shuriken,200.000
somemoreblocks:black_shingles,8.000
create:waxed_copper_shingles,70.430
protection_pixel:brassarmorplate,13.330
supplementaries:daub_cross_brace,20.680
irons_spellbooks:book_stack,9.000
numismatics:sun,0.000
crystal_chronicles:paladin_chestplate,10318.150
sophisticatedbackpacks:upgrade_base,136.500
comforts:rope_and_nail,15.500
born_in_chaos_v1:bone_heart,52.500
somemoreblocks:polished_ice,9.000
create:copper_scaffolding,0.430
protection_pixel:wingsofprism_chestplate,352.060
somemoreblocks:packed_snow_slab,0.500
hazennstuff:mycelium_guardian_leggings,2633.460
born_in_chaos_v1:fel_soil,240.000
hazennstuff:soul_flame_boots,17922.590
create:large_cogwheel,4.420
minecraft:birch_stairs,0.830
born_in_chaos_v1:fried_maggot,10.000
minecraft:frogspawn,15.000
better_weaponry:netherite_chakram,923.400
create:bamboo_window_pane,3.840
irons_spellbooks:blaze_spell_book,342.000
somemoreblocks:mossy_dripstone_brick_stairs,4.250
crystal_chronicles:crustone_bricks,16.000
minecraft:tropical_fish_bucket,100.000
somemoreblocks:green_shingles,8.000
minecraft:stone_sword,32.420
supplementaries:checker_block,16.000
somemoreblocks:snow_tile_slab,0.500
minecraft:mangrove_chest_boat,10.790
minecraft:jungle_hanging_sign,7.040
somemoreblocks:granite_brick_wall,16.000
create:crushed_raw_copper,0.860
better_weaponry:diamond_scythe,320.840
somemoreblocks:polished_basalt_brick_wall,0.500
create:waxed_weathered_copper_tile_slab,70.220
minecraft:jungle_trapdoor,0.830
hazennstuff:cryogenic_ruler_leggings,16386.820
suppsquared:metal_cross_brace,7.120
hazennstuff:permafrost_prince_chestplate,21105.910
born_in_chaos_v1:killer_rabbit_ears_helmet,4000.000
create:extendo_grip,90.150
somemoreblocks:orange_concrete_bricks,16.020
crystal_chronicles:fat_tissue_ball,10.000
minecraft:chiseled_bookshelf,6.240
minecraft:ladder,0.980
better_weaponry:emerald_battleaxe,250.840
minecraft:redstone_torch,0.520
hazennstuff:golden_shower_spellbook,4591.990
suppsquared:item_shelf_dark_oak,0.630
born_in_chaos_v1:damned_demomans_hat_helmet,1600.000
minecraft:target,270.400
somemoreblocks:smooth_granite_slab,8.000
hazennstuff:maverick_leggings,20572.780
born_in_chaos_v1:black_argillitepressureplate,13.000
minecraft:pale_oak_hanging_sign,7.040
born_in_chaos_v1:lord_pumpkinheads_empty_lamp,1050.000
born_in_chaos_v1:dark_stained_glass_panel,5.750
create:netherite_backtank,649.180
hazennstuff:miner_boots,112.000
sophisticatedstorage:compression_upgrade,265.530
somemoreblocks:magenta_shingles,8.000
minecraft:armor_stand,10.520
crystal_chronicles:mage_helmet,10014.970
somemoreblocks:cracked_snow_bricks,1.000
create:weathered_iron_window_pane,7.500
hazennstuff:mithril_battlemage_boots,5566.310
born_in_chaos_v1:scorched_planks_stairs,5.420
fdbosses:justicestone_bricks_slab,0.120
minecraft:mangrove_slab,0.420
born_in_chaos_v1:stormcallers_horn,1485.000
somemoreblocks:cracked_granite_tiles,16.000
somemoreblocks:blue_concrete_tiles,16.020
hazennstuff:beongae,1652.440
suppsquared:born_in_chaos_v1/item_shelf_scorched,2.700
born_in_chaos_v1:intoxicating_decoction,650.000
hazennstuff:malice,2950.000
supplementaries:ash,1.000
supplementaries:bomb,35.880
crystal_chronicles:neuron_block,80.400
supplementaries:checker_slab,8.000
somemoreblocks:black_terracotta_tiles,16.000
sophisticatedstorage:diamond_chest,777.800
born_in_chaos_v1:orange_stained_glass,15.330
create:crafter_slot_cover,0.990
born_in_chaos_v1:spiny_shell_armor_chestplate,280.000
somemoreblocks:terracotta_bricks,16.000
born_in_chaos_v1:dark_metal_armor_chestplate,22717.980
hazennstuff:magehunter_helmet,1387.600
hazennstuff:infestation_helmet,25892.330
betterarcheology:unidentified_artifact,8550.000
hazennstuff:neru_boots,57.670
protection_pixel:tosaki_leggings,518.800
minecraft:pale_oak_planks,0.830
sophisticatedstorage:super_packing_tape,121.480
hazennstuff:ruptured,4299.500
somemoreblocks:mud_tile_stairs,30.300
fdbosses:eye_of_geburah,133.880
crystal_chronicles:crustone_bricks_wall,16.000
minecraft:resin_brick_wall,240.000
minecraft:tuff_slab,8.000
suppsquared:item_shelf_birch,0.630
create:goggles,54.470
minecraft:warped_stairs,0.830
minecraft:chiseled_resin_bricks,240.000
hazennstuff:infestation_chestplate,26871.890
somemoreblocks:bone_brick_slab,11.250
somemoreblocks:cracked_polished_basalt_bricks,0.500
create:cogwheel,3.590
minecraft:smooth_sandstone_slab,32.000
irons_spellbooks:ender_rune,4310.830
minecraft:rail,6.030
somemoreblocks:oak_mosaic,0.840
somemoreblocks:polished_snow_slab,0.250
irons_spellbooks:boreal_blade,2761.500
minecraft:diamond_sword,160.420
hazennstuff:legionnaire_commander_helmet,1086.420
minecraft:pink_dye,0.170
better_weaponry:stone_shield,20.980
irons_spellbooks:wisewood_chiseled_bookshelf,7.670
create:waxed_oxidized_copper_shingle_stairs,70.430
somemoreblocks:corrupted_polished_blackstone_brick_wall,56.120
somemoreblocks:mossy_sandstone_brick_slab,32.120
better_weaponry:copper_sickle,2.140
minecraft:soul_lantern,14.840
minecraft:crimson_trapdoor,0.830
minecraft:cod_bucket,80.000
better_weaponry:copper_armor_leggings,6.020
create:stockpile_switch,81.790
create:potato_cannon,76.620
create:waxed_weathered_copper_tiles,70.430
minecraft:bamboo_stairs,1.500
minecraft:smooth_basalt,16.000
hazennstuff:mithril_battlemage_leggings,6020.870
somemoreblocks:snow_tile_stairs,1.500
sophisticatedstorage:storage_tool,47.360
hazennstuff:mossy_mud_brick_wall,17.380
better_weaponry:copper_armor_chestplate,6.880
hazennstuff:glowing_mushroom,7.250
somemoreblocks:red_sandstone_bricks,64.000
create:chute,12.000
somemoreblocks:magenta_stained_tiled_glass,16.000
somemoreblocks:chiseled_purpur,15.000
minecraft:crimson_planks,0.830
minecraft:smooth_red_sandstone,64.000
born_in_chaos_v1:black_argillite,13.000
somemoreblocks:polished_blackstone_pillar,16.000
minecraft:ink_sac,12.500
minecraft:waxed_oxidized_copper,77.740
minecraft:flower_banner_pattern,0.750
somemoreblocks:cyan_stained_tiled_glass,16.000
minecraft:phantom_membrane,30.000
minecraft:mangrove_planks,0.830
somemoreblocks:cracked_redstone_bricks,0.900
suppsquared:item_shelf_cherry,0.630
somemoreblocks:smooth_andesite_slab,8.000
better_weaponry:amethyst_claymore,23.260
create:crushing_wheel,142.140
somemoreblocks:light_blue_terracotta_bricks,16.000
somemoreblocks:diorite_bricks,16.000
minecraft:crafter,195.620
irons_spellbooks:wandering_magician_leggings,67.440
hazennstuff:mycelium_guardian_helmet,2330.420
supplementaries:slidy_block,87.120
somemoreblocks:lime_concrete_tiles,16.020
gametechbcs_spellbooks:amulet_of_spectral_shift,110.000
hazennstuff:zenalite_brick_slab,8.690
create:jungle_window_pane,3.470
somemoreblocks:waxed_exposed_cracked_cut_copper,19.430
hazennstuff:pyrium_battlemage_chestplate,1354.570
somemoreblocks:polished_stone_slab,8.000
somemoreblocks:cracked_iron_bricks,144.000
minecraft:wooden_hoe,2.500
numismatics:blaze_banker,448.830
minecraft:quartz_pillar,16.000
createoreexcavation:diamond_drill,1488.000
somemoreblocks:cherry_mosaic_stairs,1.260
born_in_chaos_v1:infernal_evil_pumpkin,153.500
create:copycat_step,1.250
somemoreblocks:cracked_tuff_tiles,16.000
hazennstuff:charred_bones,55.000
hazennstuff:magehunter_leggings,1690.640
minecraft:waxed_oxidized_cut_copper_stairs,19.430
irons_spellbooks:mana_ring,80.000
somemoreblocks:nether_bricks_pillar,0.400
protection_pixel:falconnestas_chestplate,4068.670
sophisticatedstorage:gold_to_netherite_tier_upgrade,718.400
minecraft:blue_dye,0.250
better_weaponry:diamond_hammer,480.420
minecraft:wither_rose,50.000
somemoreblocks:soul_sandstone_wall,1.200
somemoreblocks:light_blue_stained_tiled_glass_pane,6.000
better_weaponry:iron_glaive,32.840
minecraft:smooth_quartz,16.000
createoreexcavation:sample_drill,821.140
better_weaponry:amethyst_armor_boots,22.840
somemoreblocks:cracked_diorite_bricks,16.000
somemoreblocks:red_sandstone_brick_slab,32.000
create:mechanical_mixer,137.770
minecraft:wooden_axe,3.330
better_weaponry:amethyst_chakram,23.260
somemoreblocks:red_stained_tiled_glass_pane,6.000
crystal_chronicles:crustone_slab,8.000
minecraft:waxed_oxidized_copper_door,71.720
create:super_glue,78.020
somemoreblocks:cracked_netherite_bricks,700.920
born_in_chaos_v1:fel_lamp,3470.000
supplementaries:lapis_bricks_slab,4.160
protection_pixel:alloyarmorplate,71.500
minecraft:mossy_stone_bricks,16.250
somemoreblocks:smooth_mud,30.300
somemoreblocks:waxed_exposed_copper_bricks,71.940
create:copper_ladder,0.430
minecraft:trapped_chest,15.260
supplementaries:daub_brace,20.680
born_in_chaos_v1:bone_handle,452.500
irons_spellbooks:holy_upgrade_orb,17593.640
hazennstuff:seraph_chestplate,16743.000
create:oak_window_pane,3.470
born_in_chaos_v1:black_argillite_slab,6.500
somemoreblocks:cracked_diorite_tiles,16.000
numismatics:cog,64.000
minecraft:iron_bars,6.000
born_in_chaos_v1:soul_cutlass,4952.500
somemoreblocks:polished_blackstone_tile_stairs,16.000
hazennstuff:lemon,15.000
minecraft:diamond_axe,240.840
supplementaries:blackstone_tile_wall,16.000
somemoreblocks:cracked_cut_gold,67.230
better_weaponry:iron_shield,20.980
hazennstuff:hazel_helmet,17460.970
create:netherite_diving_boots,639.540
exposure_polaroid:instant_color_slide,0.340
minecraft:mace,5055.000
minecraft:totem_of_undying,320.000
somemoreblocks:sandstone_brick_slab,32.000
minecraft:dark_oak_pressure_plate,0.830
irons_spellbooks:magehunter,2612.420
somemoreblocks:andesite_bricks,16.000
waterframes:tv_box,242.400
create:piston_extension_pole,2.280
minecraft:waxed_cut_copper,19.430
minecraft:chiseled_polished_blackstone,16.000
darkdoppelganger:shadow_orb,1036.000
somemoreblocks:smooth_prismarine,8.320
hazennstuff:pyrium_chestplate,1307.510
hazennstuff:frostbite_hunter_leggings,16151.880
somemoreblocks:cracked_tuff_bricks,16.000
betterarcheology:sheep_fossil,15000.000
hazennstuff:garments_of_the_first_flamebearer_boots,26528.250
hazennstuff:hallowed_ingot,426.700
somemoreblocks:light_gray_terracotta_bricks,16.000
create:cinder_flour,0.100
protection_pixel:linkplate_chestplate,230.200
born_in_chaos_v1:elixirof_wither_resistance,650.000
protection_pixel:steambooster,329.280
somemoreblocks:purpur_tile_slab,7.500
minecraft:deepslate_tile_slab,8.000
sophisticatedstorage:limited_barrel_3,5.930
sophisticatedstorage:limited_barrel_4,5.520
sophisticatedstorage:limited_barrel_1,6.750
sophisticatedstorage:limited_barrel_2,6.340
create:cardboard_sword,7.920
somemoreblocks:smooth_prismarine_slab,4.160
somemoreblocks:spruce_mosaic_slab,0.420
somemoreblocks:yellow_shingles,8.000
irons_spellbooks:lightning_rod,90.320
create:dark_oak_window,9.250
hazennstuff:utau_boots,57.600
somemoreblocks:corrupted_polished_blackstone_bricks,56.120
crystal_chronicles:electromancer_leggings,10228.060
create:schematic_and_quill,15.500
minecraft:warped_button,0.830
somemoreblocks:polished_blackstone_tiles,16.000
born_in_chaos_v1:potion_of_rampage,650.000
somemoreblocks:end_stone_tile_wall,16.000
born_in_chaos_v1:dark_ritual_dagger,1502.500
minecraft:glow_berries,5.000
somemoreblocks:cracked_amethyst_bricks,22.840
born_in_chaos_v1:ethereal_spirit,60.000
create_hypertube:hypertube_accelerator,50.130
hazennstuff:crude_metal,74.000
minecraft:torch,0.600
hazennstuff:radiance,62859.900
minecraft:polished_granite_stairs,16.000
somemoreblocks:pink_terracotta_bricks,16.000
somemoreblocks:diorite_brick_wall,16.000
hazennstuff:synthesizer_v_leggings,57.670
somemoreblocks:end_stone_tile_stairs,16.000
better_weaponry:copper_spear,1.700
minecraft:map,2.000
irons_spellbooks:alchemist_cauldron,208.600
supplementaries:stone_tile_slab,8.000
minecraft:detector_rail,21.350
minecraft:ominous_trial_key,170.000
somemoreblocks:lapis_pillar,18.720
create:dough,30.000
supplementaries:daub_frame,20.680
artifacts:eternal_steak,5000.000
irons_spellbooks:holy_rune,4243.550
minecraft:waxed_weathered_copper,77.740
born_in_chaos_v1:black_argillite_column_slab,6.500
somemoreblocks:cracked_ice_tiles,9.000
somemoreblocks:pink_shingles_stairs,8.000
create:mechanical_crafter,10.520
protection_pixel:pioneer_chestplate,441.270
minecraft:waxed_weathered_chiseled_copper,19.430
minecraft:crafting_table,3.320
somemoreblocks:mossy_granite_brick_wall,16.250
hazennstuff:bountiful_harvest,3523.570
minecraft:sandstone_wall,64.000
minecraft:netherite_chestplate,1242.980
sophisticatedstorage:crimson_storage_connector,1.360
protection_pixel:flarerod,63.120
create:copper_door,6.190
better_weaponry:stone_rapier,32.840
sophisticatedstorage:iron_barrel,77.220
hazennstuff:soulcalling_scepter,778.100
protection_pixel:cannonarm,919.770
minecraft:cherry_slab,0.420
supplementaries:jar,112.420
minecraft:anvil,496.000
somemoreblocks:soul_sandstone_tile_wall,1.200
somemoreblocks:corrupted_polished_basalt_brick_slab,20.310
hazennstuff:bounty_hunter_helmet,4992.910
create:waxed_oxidized_copper_shingle_slab,70.220
somemoreblocks:cracked_cut_lapis,18.720
suppsquared:daub_stairs,28.500
supplementaries:lock_block,67.420
somemoreblocks:brown_terracotta_bricks,16.000
somemoreblocks:white_terracotta_tiles,16.000
somemoreblocks:bone_tile_wall,22.500
somemoreblocks:soul_sandstone_brick_wall,1.200
sophisticatedstorage:stack_upgrade_tier_1,108.150
create:spout,5.460
born_in_chaos_v1:pumpkinhandgun,700.000
hazennstuff:the_wither_boots,17093.760
somemoreblocks:cherry_mosaic,0.840
somemoreblocks:corrupted_polished_basalt_bricks,40.620
somemoreblocks:polished_basalt_brick_stairs,0.500
sereneseasons:season_sensor,111.980
crystal_chronicles:polished_crustone_slab,8.000
somemoreblocks:pink_stained_tiled_glass_pane,6.000
minecraft:waxed_oxidized_copper_grate,19.430
minecraft:carrot_on_a_stick,38.760
create:controller_rail,11.010
somemoreblocks:mossy_calcite_brick_slab,8.120
minecraft:brick_wall,16.000
fdbosses:eye_of_chesed,50.000
supplementaries:cage,61.260
hazennstuff:shadestone,280.000
hazennstuff:herta_puppet_leggings,9737.820
minecraft:dark_oak_planks,0.830
minecraft:oak_button,0.830
crystal_chronicles:cracked_crustone_bricks_wall,16.000
minecraft:granite_wall,16.000
minecraft:dark_oak_hanging_sign,7.040
sophisticatedstorage:acacia_storage_connector,1.360
supplementaries:lumisene_bottle,10.050
sophisticatedstorage:chest,7.160
somemoreblocks:granite_bricks,16.000
somemoreblocks:red_stained_tiled_glass,16.000
minecraft:enchanted_book,8550.000
better_weaponry:iron_rapier,32.840
minecraft:pale_oak_fence,0.830
minecraft:diamond_helmet,400.000
minecraft:warped_fence,0.830
somemoreblocks:polished_snow_stairs,0.750
supplementaries:confetti_popper,0.600
minecraft:waxed_exposed_cut_copper,19.430
minecraft:dark_oak_fence_gate,0.830
minecraft:compass,64.100
tiab:time_in_a_bottle,22057.190
better_weaponry:golden_shuriken,29.880
supplementaries:cannon_boat_dark_oak,177.290
hazennstuff:neru_leggings,57.670
minecraft:item_frame,7.110
irons_spellbooks:chronicle,104.350
protection_pixel:tosaki_chestplate,582.830
minecraft:loom,31.660
protection_pixel:lanceras_helmet,1935.520
somemoreblocks:green_checkered_tiles,16.010
better_weaponry:iron_dagger,16.420
somemoreblocks:short_snow_grass,0.500
somemoreblocks:bone_brick_stairs,22.500
minecraft:arrow,7.860
create:desk_bell,28.530
irons_spellbooks:cast_time_ring,56.670
irons_spellbooks:cursed_doll_spell_book,357.380
hazennstuff:frostbite_birch_stairs,0.830
hazennstuff:advanced,78479.330
somemoreblocks:cracked_polished_blackstone_tiles,16.000
create:gearshift,24.750
better_weaponry:emerald_dagger,50.420
create:weighted_ejector,48.680
vista:viewfinder,89.920
born_in_chaos_v1:nightmare_stalker_skull,600.000
sophisticatedbackpacks:everlasting_upgrade,924.500
hazennstuff:fireblossom_rapier,2592.750
minecraft:red_sandstone_stairs,64.000
better_weaponry:amethyst_shield,10.690
betterarcheology:rotten_door,0.830
somemoreblocks:dark_oak_mosaic,0.840
supplementaries:quiver,110.000
fdbosses:geburah_explosive_crystal,1000.000
minecraft:polished_blackstone,16.000
somemoreblocks:smooth_dripstone,4.000
somemoreblocks:polished_prismarine_slab,4.160
suppsquared:betterarcheology/item_shelf_rotten,0.630
hazennstuff:pyrium_leggings,1227.510
create:cardboard_chestplate,30.000
minecraft:bamboo_mosaic_slab,0.750
born_in_chaos_v1:spiritual_dust,11.250
exposure_polaroid:instant_camera,283.250
somemoreblocks:pearlescent_redstone_froglight,45.400
somemoreblocks:granite_tile_stairs,16.000
hazennstuff:wisewood_trapdoor,1.070
minecraft:stone_axe,48.840
create:mechanical_roller,184.000
minecraft:jungle_button,0.830
hazennstuff:pyrium_battlemage_boots,748.490
better_weaponry:copper_shovel,1.700
somemoreblocks:mossy_red_sandstone_brick_wall,64.250
crystal_chronicles:neuron,10.000
sophisticatedstorage:hopper_upgrade,187.090
sophisticatedstorage:jungle_storage_connector,1.360
better_weaponry:stone_broadsword,96.420
sophisticatedstorage:netherite_barrel,854.860
better_weaponry:netherite_spear,683.820
minecraft:spruce_trapdoor,0.830
minecraft:spider_eye,15.000
betterarcheology:creeper_fossil,15000.000
minecraft:respawn_anchor,91.200
minecraft:deepslate_brick_slab,8.000
somemoreblocks:cracked_mud_tiles,30.300
somemoreblocks:mossy_deepslate_brick_slab,8.120
sophisticatedstorage:shulker_box,77.160
hazennstuff:creaking_boots,15281.260
minecraft:dark_prismarine_stairs,17.640
create:cart_assembler,43.220
better_weaponry:wooden_shield,5.810
hazennstuff:garments_of_the_first_flamebearer_soul_boots,26542.500
minecraft:snow_block,1.000
protection_pixel:linkplate_boots,129.120
born_in_chaos_v1:transmuting_elixir,1650.260
better_weaponry:amethyst_glaive,12.260
supplementaries:crystal_display,32.560
minecraft:sandstone_stairs,64.000
minecraft:composter,2.940
minecraft:jukebox,86.640
somemoreblocks:polished_calcite,16.000
somemoreblocks:lime_stained_tiled_glass,16.000
minecraft:acacia_sign,0.830
minecraft:chest_minecart,86.640
hazennstuff:blazeborne_helmet,15965.280
somemoreblocks:deepslate_pillar,16.000
protection_pixel:linkplate_leggings,227.360
better_weaponry:amethyst_cutlass,13.100
create:waxed_copper_tiles,70.430
minecraft:prismarine_slab,4.160
minecraft:obsidian,160.480
minecraft:fermented_spider_eye,15.260
fdbosses:malkuth_fist,3200.000
born_in_chaos_v1:black_argillite_stairs,13.000
better_weaponry:netherite_rapier,763.820
somemoreblocks:spruce_mosaic_stairs,1.260
born_in_chaos_v1:armor_plate_from_dark_metal,18100.000
create:red_sand_paper,16.250
minecraft:cobbled_deepslate_slab,8.000
crystal_chronicles:lightning_bident,1878.120
somemoreblocks:waxed_oxidized_copper_bricks,71.940
minecraft:iron_door,32.000
born_in_chaos_v1:wood_splitter_axe,60.000
minecraft:crimson_door,0.830
born_in_chaos_v1:shell_mace,1010.000
irons_spellbooks:amethyst_rapier,11.830
hazennstuff:infestation_boots,25478.310
irons_spellbooks:hither_thither_wand,2536.540
suppsquared:copper_plaque,0.860
minecraft:end_stone_bricks,16.000
somemoreblocks:terracotta_tiles,16.000
hazennstuff:volt_core,200.400
minecraft:tuff_brick_stairs,16.000
somemoreblocks:netherite_grate,700.920
irons_spellbooks:chained_book,10.620
hazennstuff:blazeborne_boots,15551.260
born_in_chaos_v1:monster_skin,25.000
betterarcheology:rotten_trapdoor,0.830
somemoreblocks:cracked_cut_amethyst,22.840
minecraft:smooth_quartz_stairs,16.000
sereneseasons:calendar,31.980
create:metal_girder,12.210
suppsquared:hazennstuff/item_shelf_wisewood,0.810
better_weaponry:stone_chakram,64.420
somemoreblocks:soul_sandstone_bricks,1.200
somemoreblocks:orange_shingles,8.000
hazennstuff:creaking_chestplate,16674.840
protection_pixel:magneticstorm_chestplate,343.090
somemoreblocks:pink_concrete_bricks,16.020
hazennstuff:shadow_scale_chestplate,12311.700
irons_spellbooks:arcane_rune,4282.350
supplementaries:jar_boat,116.570
hazennstuff:synthesizer_v_helmet,57.670
minecraft:lime_dye,0.120
somemoreblocks:purple_checkered_tiles,16.010
better_weaponry:iron_spear,16.840
minecraft:oak_planks,0.830
somemoreblocks:cracked_emerald_bricks,450.000
somemoreblocks:orange_shingles_stairs,8.000
sophisticatedbackpacks:advanced_restock_upgrade,383.290
hazennstuff:dark_ritual_templar_leggings,1462.700
irons_spellbooks:music_disc_flame_still_burns,540.000
minecraft:warped_sign,0.830
somemoreblocks:cracked_calcite_bricks,16.000
hazennstuff:slc_cat_leggings,20583.970
minecraft:soul_soil,0.300
protection_pixel:emptywatertank,7.720
minecraft:mangrove_door,0.830
betterarcheology:evoker_trap,125.000
minecraft:stone_brick_wall,16.000
create:chain_conveyor,44.330
minecraft:bamboo_sign,1.500
minecraft:shroomlight,5.000
sophisticatedstorage:decoration_table,86.470
hazennstuff:energized_core_spellbook,5456.550
minecraft:cyan_dye,0.180
somemoreblocks:chiseled_mud_bricks,30.300
somemoreblocks:gray_concrete_tiles,16.020
sophisticatedbackpacks:netherite_backpack,1490.260
sophisticatedstorage:iron_chest,78.040
hazennstuff:synthesizer_v_chestplate,57.670
hazennstuff:deus_essence,900.000
minecraft:spruce_boat,4.150
somemoreblocks:andesite_tile_wall,16.000
somemoreblocks:mossy_red_sandstone_bricks,64.250
better_weaponry:emerald_rapier,100.840
better_weaponry:netherite_dagger,683.400
minecraft:paper,0.250
hazennstuff:soul_flame_chestplate,19316.170
somemoreblocks:birch_mosaic,0.840
supplementaries:wicker_fence,2.180
born_in_chaos_v1:staff_of_magic_arrows,477.500
irons_spellbooks:weapon_parts,277.140
somemoreblocks:red_terracotta_tiles,16.000
suppsquared:item_shelf_spruce,0.630
minecraft:cherry_fence_gate,0.830
fdbosses:chiseled_justicestone_bricks,0.250
somemoreblocks:polished_end_stone_stairs,16.000
minecraft:cut_red_sandstone_slab,32.000
hazennstuff:flesh_mass_boots,15911.260
hazennstuff:spider_fang,25.000
somemoreblocks:mossy_dripstone_bricks,4.250
better_weaponry:amethyst_rapier,12.260
minecraft:dark_oak_button,0.830
born_in_chaos_v1:sweet_axe,9.960
protection_pixel:pneumaticgrenade,41.800
crystal_chronicles:electromancer_boots,9773.500
exposure:camera_stand,33.680
hazennstuff:reinforced,60472.210
