node,value
minecraft:golden_horse_armor,150
minecraft:dragon_breath,150
lootr:trophy,3600
darkdoppelganger:doppelganger_ring,15000
born_in_chaos_v1:krampus_horn,650
minecraft:blaze_rod,60
irons_spellbooks:netherward_tincture,1300
minecraft:diamond_horse_armor,340
#born_in_chaos_v1:infected_diamond_ores,1600
minecraft:sculk_catalyst,50
minecraft:ominous_bottle,1300
darkdoppelganger:elder_necklace,15000
minecraft:tadpole_bucket,200
born_in_chaos_v1:bloody_gadfly_eye,60
#archeology_fossils,15000
born_in_chaos_v1:rotten_fish,55
minecraft:pointed_dripstone,2
minecraft:netherrack,0.1
hazennstuff:the_tribunes_medallion,2600
minecraft:turtle_egg,90
minecraft:disc_fragment_5,120
minecraft:rabbit_foot,460
#fdbosses:trophies,28800
fdbosses:phase_sphere,6400
irons_spellbooks:scroll,80
#seeds,0.3
irons_spellbooks:divine_soulshard,14400
somemoreblocks:polished_basalt_bricks,1
minecraft:water,5
#create:lightnings,3600
minecraft:milk,15
irons_spellbooks:greater_healing_elixir,1300
#logs,9.5
#create:rare_packages,2500
#minecraft:leaves,0.2
#flowers,1
#tall_flowers,1
#dirts,0.3
#tombstones,50000
#pot_sherds,8000
#skulls,1500
#redstone_ores,50
#emerald_ores,200
#lapis_ores,50
#diamond_ores,600
#randomium_ores,8000
#mithril_ores,600
#zenalite_ores,300
#chlorophyte_ores,1600
#dreadstone_ores,80
#solar_core_ores,120
#minecraft:pumpkins,12
#relics,10000
#archeology_totems,50000
minecraft:resin_clump,120
minecraft:rotten_flesh,5
#iron_ores,70
supplementaries:flax,30
minecraft:nether_wart,10
minecraft:elytra,3200
born_in_chaos_v1:shattered_skull,50
minecraft:feather,30
#copper_ores,12
irons_spellbooks:pyrium_ingot,120
#gold_ores,90
#coal_ores,8
minecraft:wheat,60
#zinc_ores,50
