node,value,cycle,representative,partition
#stones,0.1,,,part-000
#seeds,0.1,,,part-000
#coal_ores,1.0,,,part-000
#iron_ores,8.0,,,part-000
#gold_ores,12.0,,,part-000
#copper_ores,4.0,,,part-000
#redstone_ores,10.0,,,part-000
#emerald_ores,20.0,,,part-000
#lapis_ores,6.0,,,part-000
#diamond_ores,40.0,,,part-000
#quartz_ores,13.0,,,part-110
#born_in_chaos_v1:infected_diamond_ores,120.0,,,part-116
#randomium_ores,1500.0,,,part-117
#mithril_ores,20.0,,,part-000
#zinc_ores,12.0,,,part-000
#zenalite_ores,100.0,,,part-000
#chlorophyte_ores,80.0,,,part-000
#dreadstone_ores,35.0,,,part-000
#solar_core_ores,60.0,,,part-000
#dark_metal_ores,28.0,,,part-000
#minecraft:pumpkins,6.0,,,part-000
#relics,1800.0,,,part-112
#archeology_fossils,900.0,,,part-002
#archeology:vases,60.0,,,part-118
#archeology_totems,12600.0,,,part-000
#create:honeys,0.03,,,part-000
#born_in_chaos_v1:charms,1600.0,,,part-119
#born_in_chaos_v1:candies,12.0,,,part-000
#crystal_chronicles:flesh_blocks,0.1,,,part-120
#crystal_chronicles:flesh_plants,0.25,,,part-000
#fdbosses:trophies,9000.0,,,part-121
#fdbosses:cores,3000.0,,,part-122
#irons_spellbooks:tyros_drops,6000.0,,,part-000
#irons_spellbooks:dead_king_drops,3200.0,,,part-123
#crystal_chronicles:stones,0.1,,,part-000
#grains,1.0,,,part-000
#farmersdelight:wild_plants,2.0,,,part-000
#paraglider:goddess_statues,500.0,,,part-111
#dustydecorations:seaglass_fragment,30.0,,,part-000
#dustydecorations:embedded_fish_fossil,10.0,,,part-124
#dustydecorations:seaglass_embedded,10.0,,,part-125
